sample_id,image_path,split,h2s_concentration_ppm,lighting_type,preprocessing_method,rgb_r_mean,rgb_g_mean,rgb_b_mean,rgb_r_std,rgb_g_std,rgb_b_std,hsv_h_mean,hsv_s_mean,hsv_v_mean,hsv_h_std,hsv_s_std,hsv_v_std,lab_l_mean,lab_a_mean,lab_b_mean,lab_l_std,lab_a_std,lab_b_std,norm_r,norm_g,norm_b,norm_lab_l,norm_lab_a,norm_lab_b,delta_e,ref_patch_delta_e,brightness_mean,brightness_std,blur_score,temperature_c,humidity_pct,exposure_duration_min
H2S-2026-0071,images/train/H2S-2026-0071_30ppm_dim_indoor.png,train,30.0,dim_indoor,card_warp,188.57093054438187,181.02185572539554,144.22546259050685,72.18686083453379,72.46094225158159,43.699216604712305,22.764414052024673,53.08862965942612,188.78352105122016,15.790759725796624,20.103264571192856,71.89808159563904,72.6102776857592,-2.8065164923572,19.153660498793244,26.306104001758325,4.955349078142985,13.514321560639022,1.04236942309419,1.0342400012193016,0.9313967165766353,1.033893592868629,-2.0099478649062195,8.169183374610242,20.74607653973447,50.3861014763871,179.25194422097076,68.95347613708543,491.37413757679457,23.0,35.2,15.0
H2S-2026-0072,images/train/H2S-2026-0072_30ppm_dim_indoor.png,train,30.0,dim_indoor,card_warp,178.24570930544382,172.75824617860016,138.41284526682756,73.89294804791209,73.10390845728978,44.29365162571221,24.755162241887906,48.93503620273532,178.55644945025475,14.535403216577691,22.28633246591772,73.52812788730877,69.32418931638088,-3.0879592384017163,17.684633950120677,26.654777213692743,4.607703664198401,13.881544316104907,0.9295958956461323,0.924138318793869,0.8246037906800919,0.9312752290554942,-2.1996150118221967,7.470037000229603,23.470556599438087,48.22691334708517,170.605054974524,69.85332504062607,992.67140824588,23.3,43.9,15.0
H2S-2026-0073,images/train/H2S-2026-0073_50ppm_daylight.png,train,50.0,daylight,card_warp,124.11678734245106,134.31436041834272,131.23625636899973,45.65611382038576,41.62504461538287,26.163044988547664,77.7056181281845,46.71118262268705,140.63227406811478,32.87820390240448,10.222680808816706,37.19710787083603,54.72633676694062,-3.981630463931349,0.1442746044515956,16.088685582981338,1.6344902908251355,9.376826794578946,0.6025285899277509,0.6412161877149624,0.6233074172063112,0.6604895416217802,-3.09628188005335,1.1889369138197878,39.22721396797914,32.41561767025178,130.9890050951998,40.97347233957013,238.73996126318465,23.1,55.8,15.0
H2S-2026-0074,images/test/H2S-2026-0074_50ppm_daylight.png,test,50.0,daylight,card_warp,143.68771788683293,150.49296057924377,142.18215339233038,47.386900390660664,42.30645537728943,25.192988135502798,65.23390989541431,41.594261196031105,155.50978814695628,35.87721799801757,9.735990921569366,37.01174098804549,61.23523101919771,-3.5384821668007507,3.0031509788146957,16.206698962675635,1.6244088644922663,10.082306933782512,0.8283169017558644,0.8561692340121669,0.8201966036337313,0.8734284718051766,-2.7759549336852873,1.9808198241306139,32.153665334815294,39.42691035414587,147.35136765888979,41.97544063048784,204.05541519233375,20.6,47.7,15.0
H2S-2026-0075,images/test/H2S-2026-0075_50ppm_daylight.png,test,50.0,daylight,card_warp,136.05866183963528,144.26059265218558,137.60083132207026,47.78441524140649,42.61122564665167,26.202930125787574,69.58816036470904,43.61672030034862,149.5124698310539,35.26409296944766,9.951719700153745,37.87808480066887,58.62574206405543,-3.9208903191204074,2.213931348887101,16.50144461951281,1.40194503856653,9.720629467251,0.7314007320854723,0.7656234272631592,0.7352358519003204,0.7833039127396536,-3.161358728706465,1.7564150090178288,34.90186001742006,36.92666033822734,141.06415929203538,42.17150237702175,379.81474458451186,22.8,49.5,15.0
H2S-2026-0076,images/validation/H2S-2026-0076_50ppm_LED.png,validation,50.0,LED,card_warp,101.53754357736659,132.5974121748458,159.24376508447304,37.26985152420178,41.076106736844466,31.974775597032963,103.50167605256101,97.12402788951462,159.24376508447304,4.390216197810739,27.714949632270578,31.974775597032963,53.64143780333266,-3.4831724322874766,-17.855993563958165,15.331285662507229,4.265953888932179,6.361119591928551,0.5529778376540637,0.6343274488373654,0.7290488470234695,0.6580938472220506,2.1568057812201555,-9.842649337378646,48.67161175485337,37.24087422001102,126.13173773129526,39.03036696142295,314.34292034948766,21.8,42.2,15.0
H2S-2026-0077,images/train/H2S-2026-0077_50ppm_LED.png,train,50.0,LED,card_warp,118.16291230893,147.8726870474658,170.23411102172165,39.45787435258126,41.23186862926614,30.4208750410283,102.24705014749263,83.04317511397157,170.23411102172165,4.495614950327998,30.560014191192117,30.4208750410283,59.452594660819535,-4.270514883346742,-15.353915258782516,15.406947433781436,3.9828463011353,6.8070596219287545,0.7465694410004249,0.8405629055272351,0.9286048720538385,0.8570280996276702,-0.7879440772465287,-9.448686500612576,42.64113673320354,43.84919881606773,141.38871010994905,39.61528104163101,180.1020901233913,24.2,59.6,15.0
H2S-2026-0078,images/train/H2S-2026-0078_50ppm_LED.png,train,50.0,LED,card_warp,110.16002949852508,141.56295253419148,163.9632609278627,38.47944306843803,42.149746048496944,31.380466852032583,101.50127379994636,88.47599892732636,163.9632609278627,4.79348925868309,29.016310233401626,31.380466852032583,56.949032227533,-4.5966747117189595,-15.870139447573075,15.693962044434125,4.7285499296537585,7.084298090767652,0.6592527984200789,0.7530435160034696,0.8321558708616492,0.7721639906887136,-0.23011697751416982,-8.559409600078519,44.924949455682274,41.34240713074884,134.5638240815232,39.86655657352321,438.4984819386527,23.9,51.2,15.0
H2S-2026-0079,images/holdout/H2S-2026-0079_50ppm_fluorescent.png,holdout,50.0,fluorescent,card_warp,95.12241887905604,133.69522660230624,172.24953070528292,35.467190356572765,42.72271201627986,34.59830131944138,104.67008581389112,118.62188254223652,172.24953070528292,3.2247481383495455,24.4665195812469,34.59830131944138,54.18258587961867,-2.2448377581120944,-24.593456690801823,15.613045759490577,5.44067601664163,5.4853269825959385,0.5428934807679597,0.6444615171636283,0.7837353326937051,0.6720581116746178,4.497264638402061,-14.491604838949975,52.63827033991549,39.02763473218374,126.45964065433093,39.64214311612023,969.935907750067,20.6,52.7,15.0
H2S-2026-0080,images/holdout/H2S-2026-0080_50ppm_fluorescent.png,holdout,50.0,fluorescent,card_warp,109.57354518637705,149.84204880665058,183.32408152319655,35.772910810038915,42.746952507888565,33.042184563189245,103.40030839367122,106.49088227406811,183.32408152319655,3.5358824036696457,24.637913887951566,33.042184563189245,60.06110033179267,-4.280772325020113,-22.17772861356932,15.502395269368407,5.808846772364256,6.070890772013324,0.736079049581932,0.8556796795408251,0.9818913116804254,0.874153059393262,0.5539226640866382,-13.102292883721823,46.89321819034419,45.65717124506437,141.57857334406006,39.53680671238028,182.64262335782806,24.7,47.2,15.0
H2S-2026-0081,images/holdout/H2S-2026-0081_50ppm_fluorescent.png,holdout,50.0,fluorescent,card_warp,103.10840707964601,141.4486457495307,179.92665593993027,35.84483158435647,42.80948213541511,34.21039143858853,104.91452131938857,113.22512737999463,179.92665593993027,3.432254515145059,24.831437664331467,34.21039143858853,57.0620836159618,-2.317377312952534,-24.392263341378385,15.67609459965937,5.554271208162862,5.660905218618345,0.6696286596012093,0.7525477510363505,0.8951211087511264,0.7813418005393428,4.853918983343757,-13.518080334842441,50.46573407125829,43.147441833500004,134.45722713864308,39.486606884926076,495.3164882724684,23.5,50.6,15.0
